Date,Surface,Court,Team1,Odd1,Rank1,Pts1,Weight1,Height1,Hand1,Team2,Odd2,Rank2,Pts2,Weight2,Height2,Hand2,Winner
2022-01-03,1,1,Nishioka Y.,2.22,81.0,823.0,64.0,170.0,2,Kwon S.W.,1.64,53.0,1115.0,72.0,180.0,1,2
2022-01-03,1,1,Altmaier D.,1.57,84.0,813.0,80.0,188.0,1,Monteiro T.,2.38,89.0,805.0,78.0,183.0,2,2
2022-01-03,1,1,Djere L.,1.7,52.0,1131.0,80.0,185.0,1,Carballes Baena R.,2.12,79.0,837.0,76.0,180.0,1,1
2022-01-03,1,1,Johnson S.,2.1,85.0,812.0,86.0,188.0,1,Vukic A.,1.72,156.0,440.0,85.0,188.0,1,1
2022-01-04,1,1,Moutet C.,2.64,92.0,797.0,71.0,175.0,2,Rune H.,1.47,103.0,740.0,77.0,188.0,1,1
2022-01-04,1,1,Musetti L.,1.73,59.0,1004.0,78.0,185.0,1,Daniel T.,2.09,125.0,584.0,76.0,191.0,1,2
2022-01-04,1,1,Gerasimov E.,2.62,113.0,665.0,84.0,183.0,1,Fucsovics M.,1.48,40.0,1459.0,82.0,188.0,1,1
2022-01-04,1,1,Bonzi B.,1.77,64.0,969.0,82.0,183.0,1,Ymer M.,2.04,94.0,782.0,75.0,183.0,1,2
2022-01-04,1,1,Bolt A.,1.41,137.0,506.0,84.0,183.0,2,Cerundolo J.M.,2.89,90.0,803.0,71.0,183.0,2,2
2022-01-04,1,1,Vesely J.,3.35,83.0,822.0,92.0,198.0,2,Paul T.,1.32,43.0,1349.0,78.0,185.0,1,2
2022-01-04,1,1,Cerundolo F.,1.88,127.0,582.0,78.0,185.0,1,Mager G.,1.9,62.0,978.0,81.0,96.0,1,2
2022-01-04,1,1,Kokkinakis T.,1.77,171.0,394.0,82.0,196.0,1,Millman J.,2.03,72.0,875.0,79.0,183.0,1,1
2022-01-05,1,1,Djere L.,2.28,52.0,1131.0,80.0,185.0,1,Moutet C.,1.62,92.0,797.0,71.0,175.0,2,1
2022-01-05,1,1,Cilic M.,1.3,30.0,1710.0,89.0,198.0,1,Monteiro T.,3.44,89.0,805.0,78.0,183.0,2,1
2022-01-05,1,1,Kwon S.W.,1.6,53.0,1115.0,72.0,180.0,1,Ymer M.,2.31,94.0,782.0,75.0,183.0,1,2
2022-01-05,1,1,Kokkinakis T.,2.26,171.0,394.0,82.0,196.0,1,Tiafoe F.,1.63,38.0,1492.0,77.0,188.0,1,1
2022-01-06,1,1,Daniel T.,3.5,125.0,584.0,76.0,191.0,1,Paul T.,1.29,43.0,1349.0,78.0,185.0,1,2
2022-01-06,1,1,Mager G.,2.18,62.0,978.0,81.0,96.0,1,Gerasimov E.,1.67,113.0,665.0,84.0,183.0,1,2
2022-01-06,1,1,Khachanov K.,1.24,29.0,1731.0,88.0,198.0,1,Johnson S.,3.91,85.0,812.0,86.0,188.0,1,1
2022-01-06,1,1,Cerundolo J.M.,4.68,90.0,803.0,71.0,183.0,2,Monfils G.,1.18,21.0,2158.0,80.0,193.0,1,2
2022-01-07,1,1,Cilic M.,1.29,30.0,1710.0,89.0,198.0,1,Djere L.,3.58,52.0,1131.0,80.0,185.0,1,1
2022-01-07,1,1,Paul T.,2.42,43.0,1349.0,78.0,185.0,1,Monfils G.,1.56,21.0,2158.0,80.0,193.0,1,2
2022-01-07,1,1,Gerasimov E.,3.81,113.0,665.0,84.0,183.0,1,Khachanov K.,1.26,29.0,1731.0,88.0,198.0,1,2
2022-01-07,1,1,Kokkinakis T.,1.63,171.0,394.0,82.0,196.0,1,Ymer M.,2.26,94.0,782.0,75.0,183.0,1,1
2022-01-08,1,1,Khachanov K.,2.14,29.0,1731.0,88.0,198.0,1,Cilic M.,1.7,30.0,1710.0,89.0,198.0,1,1
2022-01-08,1,1,Monfils G.,1.37,21.0,2158.0,80.0,193.0,1,Kokkinakis T.,3.04,171.0,394.0,82.0,196.0,1,1
2022-01-09,1,1,Monfils G.,1.6,21.0,2158.0,80.0,193.0,1,Khachanov K.,2.34,29.0,1731.0,88.0,198.0,1,1
2022-01-04,1,1,Bagnis F.,7.51,76.0,860.0,82.0,183.0,2,Murray A.,1.08,134.0,521.0,84.0,191.0,1,1
2022-01-04,1,1,Van De Zandschulp B.,1.46,57.0,1034.0,83.0,188.0,1,Mannarino A.,2.67,71.0,879.0,70.0,180.0,2,1
2022-01-04,1,1,Gojowczyk P.,3.05,86.0,808.0,83.0,188.0,1,Mcdonald M.,1.36,55.0,1084.0,73.0,178.0,1,2
2022-01-04,1,1,Koepfer D.,2.46,54.0,1101.0,79.0,180.0,2,Griekspoor T.,1.54,65.0,966.0,85.0,188.0,1,2
2022-01-05,1,1,Giron M.,1.63,66.0,929.0,77.0,180.0,1,Berankis R.,2.27,104.0,739.0,70.0,175.0,1,2
2022-01-05,1,1,O Connell C.,1.87,175.0,388.0,78.0,183.0,1,Thompson J.,1.92,75.0,860.0,73.0,183.0,1,2
2022-01-05,1,1,Ruusuvuori E.,1.48,95.0,778.0,79.0,188.0,1,Baez S.,2.62,99.0,762.0,70.0,70.0,1,1
2022-01-05,1,1,Laaksonen H.,1.37,98.0,765.0,78.0,185.0,1,Paire B.,3.1,46.0,1245.0,80.0,196.0,1,1
2022-01-05,1,1,Seppi A.,2.19,102.0,744.0,75.0,191.0,1,Molcan A.,1.66,88.0,806.0,73.0,178.0,1,2
2022-01-05,1,1,Travaglia S.,2.51,78.0,846.0,80.0,185.0,1,Popyrin A.,1.52,61.0,1000.0,78.0,196.0,1,2
2022-01-05,1,1,Anderson K.,1.43,80.0,829.0,93.0,203.0,1,Munar J.,2.77,77.0,848.0,78.0,183.0,1,2
2022-01-06,1,1,Thompson J.,2.79,75.0,860.0,73.0,183.0,1,Ruusuvuori E.,1.43,95.0,778.0,79.0,188.0,1,2
2022-01-06,1,1,Molcan A.,1.57,88.0,806.0,73.0,178.0,1,Goffin D.,2.38,39.0,1476.0,68.0,180.0,1,1
2022-01-06,1,1,Bagnis F.,5.04,76.0,860.0,82.0,183.0,2,Dimitrov G.,1.16,28.0,1801.0,80.0,191.0,1,2
2022-01-06,1,1,Nadal R.,1.14,6.0,4875.0,85.0,185.0,2,Berankis R.,5.44,104.0,739.0,70.0,175.0,1,1
2022-01-06,1,1,Munar J.,2.11,77.0,848.0,78.0,183.0,1,Laaksonen H.,1.71,98.0,765.0,78.0,185.0,1,1
2022-01-06,1,1,Popyrin A.,1.96,61.0,1000.0,78.0,196.0,1,Griekspoor T.,1.83,65.0,966.0,85.0,188.0,1,2
2022-01-06,1,1,Opelka R.,1.64,26.0,1936.0,100.0,211.0,1,Cressy M.,2.22,112.0,683.0,91.0,198.0,1,2
2022-01-06,1,1,Mcdonald M.,1.91,55.0,1084.0,73.0,178.0,1,Van De Zandschulp B.,1.87,57.0,1034.0,83.0,188.0,1,2
2022-01-07,1,1,Ruusuvuori E.,1.66,95.0,778.0,79.0,188.0,1,Molcan A.,2.2,88.0,806.0,73.0,178.0,1,1
2022-01-07,1,1,Nadal R.,1.19,6.0,4875.0,85.0,185.0,2,Griekspoor T.,4.59,65.0,966.0,85.0,188.0,1,1
2022-01-07,1,1,Cressy M.,1.73,112.0,683.0,91.0,198.0,1,Munar J.,2.1,77.0,848.0,78.0,183.0,1,1
2022-01-07,1,1,Dimitrov G.,1.69,28.0,1801.0,80.0,191.0,1,Van De Zandschulp B.,2.16,57.0,1034.0,83.0,188.0,1,1
2022-01-08,1,1,Cressy M.,3.2,112.0,683.0,91.0,198.0,1,Dimitrov G.,1.35,28.0,1801.0,80.0,191.0,1,1
2022-01-08,1,1,Ruusuvuori E.,4.45,95.0,778.0,79.0,188.0,1,Nadal R.,1.2,6.0,4875.0,85.0,185.0,2,2
2022-01-09,1,1,Nadal R.,1.14,6.0,4875.0,85.0,185.0,2,Cressy M.,5.66,112.0,683.0,91.0,198.0,1,1
2022-01-10,1,1,Vukic A.,2.02,160.0,440.0,85.0,188.0,1,Bublik A.,1.79,35.0,1538.0,76.0,196.0,1,1
2022-01-10,1,1,Tiafoe F.,1.75,37.0,1492.0,77.0,188.0,1,Paul T.,2.07,41.0,1374.0,78.0,185.0,1,2
2022-01-10,1,1,Mcdonald M.,1.57,55.0,1094.0,73.0,178.0,1,Rinderknech A.,2.37,58.0,1057.0,86.0,196.0,1,2
2022-01-10,1,1,Millman J.,1.71,80.0,820.0,79.0,183.0,1,Munar J.,2.14,72.0,868.0,78.0,183.0,1,2
2022-01-11,1,1,Moutet C.,2.03,115.0,643.0,71.0,175.0,2,Struff J.L.,1.79,50.0,1171.0,87.0,196.0,1,1
2022-01-11,1,1,Harris L.,1.59,32.0,1629.0,80.0,193.0,1,Kwon S.W.,2.33,53.0,1110.0,72.0,180.0,1,2
2022-01-11,1,1,Bolt A.,3.29,142.0,496.0,84.0,183.0,2,Johnson S.,1.33,84.0,807.0,86.0,188.0,1,2
2022-01-11,1,1,Bonzi B.,1.55,65.0,969.0,82.0,183.0,1,Carballes Baena R.,2.42,76.0,837.0,76.0,180.0,1,1
2022-01-11,1,1,Fucsovics M.,2.17,38.0,1447.0,82.0,188.0,1,Van De Zandschulp B.,1.69,56.0,1069.0,83.0,188.0,1,1
2022-01-11,1,1,Mager G.,2.23,63.0,982.0,81.0,96.0,1,Gerasimov E.,1.65,106.0,712.0,84.0,183.0,1,1
2022-01-11,1,1,Kokkinakis T.,1.28,145.0,480.0,82.0,196.0,1,Paire B.,3.64,47.0,1205.0,80.0,196.0,1,1
2022-01-11,1,1,Nishioka Y.,1.92,99.0,748.0,64.0,170.0,2,Monteiro T.,1.88,83.0,809.0,78.0,183.0,2,2
2022-01-11,1,1,Rinderknech A.,1.84,58.0,1057.0,86.0,196.0,1,Kwon S.W.,1.96,53.0,1110.0,72.0,180.0,1,1
2022-01-12,1,1,Cilic M.,1.35,29.0,1760.0,89.0,198.0,1,Munar J.,3.21,72.0,868.0,78.0,183.0,1,1
2022-01-12,1,1,Paul T.,1.4,41.0,1374.0,78.0,185.0,1,Bonzi B.,2.95,65.0,969.0,82.0,183.0,1,1
2022-01-12,1,1,Mager G.,4.33,63.0,982.0,81.0,96.0,1,Khachanov K.,1.21,30.0,1726.0,88.0,198.0,1,2
2022-01-12,1,1,Vukic A.,1.87,160.0,440.0,85.0,188.0,1,Johnson S.,1.94,84.0,807.0,86.0,188.0,1,1
2022-01-12,1,1,Kokkinakis T.,1.74,145.0,480.0,82.0,196.0,1,Isner J.,2.09,24.0,2016.0,108.0,208.0,1,1
2022-01-12,1,1,Monteiro T.,4.67,83.0,809.0,78.0,183.0,2,Monfils G.,1.19,19.0,2373.0,80.0,193.0,1,1
2022-01-12,1,1,Fucsovics M.,1.68,38.0,1447.0,82.0,188.0,1,Moutet C.,2.18,115.0,643.0,71.0,175.0,2,2
2022-01-13,1,1,Khachanov K.,1.39,30.0,1726.0,88.0,198.0,1,Rinderknech A.,2.95,58.0,1057.0,86.0,196.0,1,2
2022-01-13,1,1,Cilic M.,1.65,29.0,1760.0,89.0,198.0,1,Paul T.,2.23,41.0,1374.0,78.0,185.0,1,1
2022-01-13,1,1,Moutet C.,1.45,115.0,643.0,71.0,175.0,2,Monteiro T.,2.75,83.0,809.0,78.0,183.0,2,1
2022-01-13,1,1,Kokkinakis T.,1.5,145.0,480.0,82.0,196.0,1,Vukic A.,2.56,160.0,440.0,85.0,188.0,1,1
2022-01-14,1,1,Moutet C.,1.73,115.0,643.0,71.0,175.0,2,Rinderknech A.,2.11,58.0,1057.0,86.0,196.0,1,2
2022-01-14,1,1,Kokkinakis T.,2.39,145.0,480.0,82.0,196.0,1,Cilic M.,1.58,29.0,1760.0,89.0,198.0,1,1
2022-01-15,1,1,Rinderknech A.,1.96,58.0,1057.0,86.0,196.0,1,Kokkinakis T.,1.85,145.0,480.0,82.0,196.0,1,2
